second,x_left,y_left,x_right,y_right,obj_score,label_score,label,label_name,foot_x,foot_y
16.0,302.46478,86.53767,378.65613,296.00223,0.8751927,0.99841774,0.0,person,340.56046,296.00223
17.0,341.5205,186.6331,540.6354,360.61273,0.9940614,0.9990639,0.0,person,441.07794,360.61273
17.0,299.74014,109.55458,392.66446,308.5796,0.9886983,0.99980265,0.0,person,346.2023,308.5796
17.0,309.14902,4.7076845,345.26413,111.92395,0.95939827,0.9997496,0.0,person,327.20657,111.92395
18.0,339.97665,194.38629,542.406,365.80103,0.99498487,0.9798986,0.0,person,441.19135,365.80103
18.0,311.35858,69.89269,401.38275,303.18454,0.98961204,0.9998167,0.0,person,356.37067,303.18454
18.0,275.25302,27.587563,341.85287,173.81055,0.55923516,0.99612844,0.0,person,308.55295,173.81055
19.0,340.26398,189.63559,544.20447,363.9832,0.9974342,0.9987029,0.0,person,442.23422,363.9832
19.0,259.9065,30.743437,333.14313,236.91234,0.9818641,0.9985077,0.0,person,296.5248,236.91234
19.0,321.53232,113.46378,426.3401,302.86664,0.7071946,0.96548915,0.0,person,373.93622,302.86664
20.0,342.62396,190.74794,542.4808,360.8171,0.99158996,0.9977297,0.0,person,442.55237,360.8171
20.0,316.50464,119.475624,421.9173,296.06488,0.7851898,0.9099729,0.0,person,369.21097,296.06488
20.0,265.801,20.980686,338.96207,220.94489,0.6786655,0.9889354,0.0,person,302.38153,220.94489
21.0,351.53265,190.68594,561.955,366.21848,0.9913379,0.9967894,0.0,person,456.74384,366.21848
21.0,315.57208,111.05498,406.69507,306.33603,0.86423767,0.9979274,0.0,person,361.13358,306.33603
21.0,252.05582,48.081665,337.96573,221.0537,0.8331749,0.9983505,0.0,person,295.01077,221.0537
22.0,347.38824,190.02985,565.8358,364.59985,0.99452823,0.99776673,0.0,person,456.61203,364.59985
22.0,293.63898,105.9423,390.21765,341.06552,0.951764,0.9986934,0.0,person,341.9283,341.06552
22.0,259.43243,31.93033,337.07538,238.65544,0.8685044,0.99953926,0.0,person,298.2539,238.65544
23.0,329.71338,190.05692,535.33954,361.1642,0.9954796,0.9971861,0.0,person,432.52646,361.1642
23.0,269.16852,114.61412,391.09564,333.73822,0.9250271,0.99310356,0.0,person,330.13208,333.73822
23.0,279.0739,40.9078,347.89557,113.90717,0.62607616,0.9939898,0.0,person,313.48474,113.90717
24.0,300.92676,201.03133,491.8081,364.2422,0.9056031,0.9959714,0.0,person,396.36743,364.2422
24.0,246.95859,22.87368,318.4558,250.7821,0.5838572,0.9977558,0.0,person,282.7072,250.7821
25.0,263.31604,195.68166,414.12598,367.53165,0.9741677,0.9997845,0.0,person,338.721,367.53165
25.0,275.42746,9.780051,373.98483,119.40268,0.81125766,0.9995122,0.0,person,324.70615,119.40268
25.0,260.38367,105.92191,347.74457,272.3232,0.6755744,0.9956392,0.0,person,304.06412,272.3232
26.0,251.63928,108.30344,346.8964,273.45038,0.9613763,0.99930966,0.0,person,299.26782,273.45038
26.0,202.70773,257.7176,378.93192,355.24063,0.90324956,0.9827424,0.0,person,290.81982,355.24063
26.0,315.54196,266.8614,411.99255,357.06305,0.58538705,0.991045,0.0,person,363.76727,357.06305
27.0,227.54234,110.77232,335.89532,342.10028,0.9715381,0.99953914,0.0,person,281.71884,342.10028
28.0,219.47389,129.84747,310.22595,285.8093,0.9882703,0.9999205,0.0,person,264.8499,285.8093
28.0,203.52725,244.589,407.0362,355.02155,0.9669262,0.99687165,0.0,person,305.28174,355.02155
29.0,205.79416,111.44422,293.1542,341.54218,0.96019036,0.9992962,0.0,person,249.47418,341.54218
29.0,248.26443,156.21388,431.67392,361.28992,0.87532455,0.9977648,0.0,person,339.96918,361.28992
29.0,301.90872,41.161137,378.6934,224.2318,0.5194836,0.98884845,0.0,person,340.30106,224.2318
